2025-07-04 17:14:54,774 | INFO | User Question: hi
2025-07-07 11:43:02,809 | INFO | Cleaned SQL: SELECT DISTINCT Season, Match_Number FROM S_RBR WHERE Attacking_Player_Name LIKE '%Pawan%' AND Defense_Techniques_Used LIKE '%AnkleHold%' AND Attack_Result_Status COLLATE NOCASE = 'Successful';
2025-07-07 11:43:27,180 | INFO | User Question: raid urls of pawan escaping an ankle hold by a defender in every match
2025-07-07 11:43:27,180 | INFO | Cleaned SQL: SELECT Raid_Video_URL FROM S_RBR WHERE Attacking_Player_Name LIKE '%Pawan%' AND Defense_Techniques_Used LIKE '%AnkleHold%' AND Attack_Result_Status COLLATE NOCASE = 'Successful';
2025-07-07 11:45:38,166 | INFO | User Question: hi
2025-07-07 11:45:38,166 | INFO | Cleaned SQL: Error: No specific query requested. Please provide a question about the data.
2025-07-07 12:29:00,540 | INFO | User Question: hi
2025-07-07 12:29:00,541 | INFO | Cleaned SQL: Error: No specific query requested. Please provide a question about the data.
2025-07-07 12:29:22,096 | INFO | User Question: team names
2025-07-07 12:29:22,096 | INFO | Cleaned SQL: SELECT DISTINCT "Team_A_Name" FROM S_RBR UNION SELECT DISTINCT "Team_B_Name" FROM S_RBR;
2025-07-07 12:29:35,996 | INFO | User Question: bb full form
2025-07-07 12:29:35,996 | INFO | Cleaned SQL: Error: This question cannot be answered by querying the provided S_RBR table. The full form of team abbreviations is available in the provided documentation, not in the database schema.
2025-07-07 12:30:09,243 | INFO | User Question: bb team player names
2025-07-07 12:30:09,244 | INFO | Cleaned SQL: SELECT DISTINCT SUBSTR(Attacking_Player_Name, 1, INSTR(Attacking_Player_Name, '_') - 1) AS PlayerName FROM S_RBR WHERE Attacking_Team_Code = 'BB' AND Attacking_Player_Name IS NOT NULL UNION SELECT DISTINCT SUBSTR(Primary_Defender_Name, 1, INSTR(Primary_Defender_Name, '_') - 1) AS PlayerName FROM S_RBR WHERE Defending_Team_Code = 'BB' AND Primary_Defender_Name IS NOT NULL UNION SELECT DISTINCT SUBSTR(Secondary_Defender_Name, 1, INSTR(Secondary_Defender_Name, '_') - 1) AS PlayerName FROM S_RBR WHERE Defending_Team_Code = 'BB' AND Secondary_Defender_Name IS NOT NULL;
